Data,CHF,EUR,GBP,USD,GOLD
43641,4.2506,4.7205,5.2885,4.1484,190.5222
43640,4.2507,4.7223,5.2846,4.1455,187.3571
43637,4.2522,4.7233,5.2928,4.1795,186.5624
43636,4.2397,4.7287,5.3209,4.1834,185.9471
43635,4.2262,4.726,5.3065,4.2193,182.0719
43634,4.2222,4.7249,5.2925,4.2241,182.6326
43630,4.2095,4.7228,5.3006,4.1899,182.3449
43629,4.212,4.7227,5.3016,4.1833,179.819
43628,4.2043,4.7229,5.3108,4.1696,179.2853
43627,4.2076,4.7232,5.3037,4.1724,177.4099
43626,4.2121,4.7182,5.2999,4.1747,178.2726
43623,4.2121,4.719,5.331,4.1887,179.6486
43622,4.2224,4.7183,5.3314,4.1995,180.476
43621,4.2279,4.7295,5.3305,4.1937,180.2361
43620,4.2364,4.7348,5.3311,4.2093,179.3139
43619,4.2512,4.745,5.3695,4.2472,179.4637
43616,4.2412,4.7487,5.3582,4.2591,177.7471
43615,4.2312,4.7582,5.3945,4.2709,175.3147
43614,4.243,4.7607,5.3921,4.2678,176.0611
43613,4.2383,4.7619,5.3901,4.2538,175.5314
43612,4.2288,4.7601,5.3997,4.2518,175.8507
43609,4.2429,4.7612,5.3976,4.256,175.4191
43608,4.2363,4.7601,5.4034,4.2755,175.413
43607,4.2211,4.7625,5.4024,4.2638,174.6516
43606,4.2298,4.7627,5.4233,4.2726,175.2584
43605,4.2267,4.7607,5.4399,4.2653,174.7624
43602,4.2197,4.7621,5.4436,4.2658,176.289
43601,4.2091,4.7616,5.4502,4.2452,176.8055
43600,4.2221,4.7615,5.4865,4.2506,177.4524
43599,4.2038,4.7616,5.4867,4.2367,176.8208
43598,4.1987,4.7607,5.5152,4.2357,174.8083
43595,4.176,4.7584,5.51,4.2344,175.0038
43594,4.177,4.7599,5.5274,4.2526,175.5747
43593,4.1752,4.7578,5.5336,4.2471,175.9722
43592,4.1707,4.7586,5.5617,4.2486,175.0686
43591,4.1736,4.7552,5.5688,4.2482,175.1101
43588,4.177,4.7561,5.5413,4.264,174.0989
43587,4.1657,4.7579,5.5437,4.2468,173.6087
43585,4.1678,4.7582,5.5129,4.244,175.3093
43580,4.1831,4.7581,5.5051,4.2739,175.4578
43579,4.1644,4.756,5.4872,4.2421,173.6953
43578,4.1488,4.7581,5.4956,4.2268,173.0752
43577,4.1689,4.7584,5.4956,4.2306,173.9589
43574,4.1761,4.7607,5.5053,4.2327,173.5601
43573,4.185,4.7619,5.507,4.2322,173.548
43572,4.1761,4.7622,5.4915,4.2114,172.6517
43571,4.1939,4.7599,5.5168,4.2168,173.9977
43570,4.199,4.7619,5.5102,4.2072,173.9897
43567,4.2032,4.7587,5.4992,4.2071,175.2727
43566,4.2126,4.7596,5.5209,4.2201,176.9799
43565,4.2203,4.7611,5.5201,4.2223,177.0908
43564,4.2198,4.7526,5.5144,4.2157,176.4377
43563,4.2287,4.7507,5.5193,4.2277,176.3534
43560,4.2291,4.7508,5.5361,4.2303,175.3574
43559,4.2405,4.7542,5.5689,4.2354,175.8245
43558,4.2451,4.7585,5.5736,4.2296,175.7212
43557,4.2533,4.7614,5.5501,4.2499,175.976
43556,4.2635,4.7625,5.5488,4.2371,175.9424
43553,4.2614,4.7628,5.5401,4.2434,176.151
43552,4.2512,4.7603,5.5653,4.2312,177.7842
43551,4.2516,4.762,5.5728,4.2209,178.9362
43550,4.2296,4.7564,5.5575,4.2005,177.5598
43549,4.2284,4.7538,5.5344,4.2013,177.8945
43546,4.2187,4.7509,5.5172,4.1988,177.1757
43545,4.2011,4.7558,5.4847,4.1758,176.6628
43544,4.1976,4.7607,5.5509,4.1939,175.8239
43543,4.189,4.7564,5.566,4.1881,176.1682
43542,4.1854,4.7525,5.5474,4.1872,175.7082
43539,4.1835,4.7569,5.5734,4.2031,176.0154
43538,4.1946,4.764,5.5749,4.2131,175.9036
43537,4.192,4.7632,5.5463,4.2175,177.3664
43536,4.1838,4.7568,5.5518,4.2215,175.8695
43535,4.1875,4.7516,5.4919,4.2257,176.0889
43532,4.185,4.741,5.5311,4.2261,175.7624
43531,4.1769,4.7448,5.5169,4.1943,173.4778
43530,4.1802,4.7473,5.5156,4.201,173.6546
43529,4.1913,4.7506,5.522,4.1933,173.2423
43528,4.1769,4.7397,5.5312,4.1815,173.0117
43525,4.1753,4.7433,5.5206,4.1707,175.4893
43524,4.18,4.7416,5.5302,4.1584,177.1056
43523,4.1734,4.7408,5.5322,4.1591,177.4575
43522,4.188,4.7617,5.542,4.1885,178.5812
43521,4.1939,4.7594,5.4744,4.1876,179.0612
43518,4.1953,4.7619,5.4653,4.1988,178.5589
43517,4.1867,4.7559,5.4795,4.1941,180.0916
43516,4.1895,4.7576,5.4657,4.1938,181.3376
43515,4.1805,4.748,5.4269,4.1981,179.3925
43514,4.1713,4.7401,5.4095,4.185,178.172
43511,4.1734,4.7383,5.3832,4.2016,177.9108
43510,4.1743,4.7451,5.4044,4.21,176.8542
43509,4.1674,4.7435,5.4005,4.1917,176.7183
43508,4.1716,4.7412,5.3997,4.2023,177.4473
43507,4.1843,4.7437,5.4152,4.1969,176.3361
43504,4.1774,4.7445,5.4254,4.185,176.4382
43503,4.1719,4.7391,5.3924,4.1819,175.7102
43502,4.1626,4.7427,5.3934,4.1619,175.7614
43501,4.1507,4.744,5.4069,4.1547,175.532
43500,4.1636,4.7546,5.4208,4.1532,175.0513
43497,4.1749,4.7517,5.4101,4.1433,176.0086
43496,4.1557,4.7348,5.4214,4.1265,175.458
43495,4.1768,4.7555,5.4498,4.16,175.6142
43494,4.193,4.7601,5.4748,4.16,174.9952
43493,4.2076,4.7628,5.495,4.1739,174.6695
43490,4.2213,4.7648,5.4929,4.2034,173.4522
43488,4.1946,4.7569,5.4424,4.1883,173.04
43487,4.1621,4.7142,5.3592,4.1491,171.2866
43486,4.1501,4.7081,5.3199,4.1377,170.15
43483,4.1441,4.6975,5.3305,4.1192,170.2283
43482,4.1453,4.689,5.2962,4.1126,171.1534
43481,4.1555,4.683,5.2808,4.1063,170.2727
43480,4.1553,4.6822,5.2618,4.0973,169.8613
43479,4.1524,4.6771,5.2399,4.0802,169.8717
43476,4.1309,4.6782,5.1833,4.0586,168.734
43475,4.1537,4.6764,5.1724,4.0573,168.5728
43474,4.1614,4.6722,5.1919,4.0803,168.0226
43473,4.1584,4.667,5.2029,4.0772,168.2768
43472,4.1495,4.6634,5.1919,4.0766,169.2077
43469,4.1423,4.6647,5.1873,4.092,169.8098
43468,4.1529,4.6656,5.1585,4.1016,169.8613
43465,4.1404,4.6639,5.1931,4.0736,168.0053
43462,4.138,4.6581,5.1522,4.0616,167.109
43461,4.1145,4.6471,5.1477,4.0744,166.6755
43458,4.0925,4.6413,5.1436,4.0686,165.0178
43455,4.1082,4.6458,5.1534,4.0688,164.4616
43454,4.1148,4.6598,5.1544,4.061,163.9369
43453,4.1124,4.6571,5.1648,4.0846,163.8921
43452,4.1177,4.6478,5.1631,4.082,163.9458
43451,4.1251,4.655,5.1783,4.1067,163.697
43448,4.1341,4.654,5.1867,4.1197,164.1137
43447,4.119,4.6485,5.1722,4.0861,163.1769
43446,4.1368,4.6605,5.158,4.112,164.5916
43445,4.1373,4.6528,5.1549,4.0873,163.9719
43444,4.119,4.6495,5.1788,4.0769,163.44
43441,4.1136,4.648,5.2128,4.0896,163.1706
43440,4.1165,4.6556,5.2298,4.1091,163.376
43439,4.1124,4.6542,5.2303,4.1053,163.1645
43438,4.1024,4.6519,5.2295,4.0776,162.5036
43437,4.1102,4.6566,5.2233,4.1042,162.4283
43433,4.1169,4.656,5.2359,4.1008,161.6072
43432,4.1314,4.658,5.2776,4.1258,160.9735
43431,4.1203,4.6599,5.2536,4.1194,162.1081
43430,4.1118,4.6585,5.2662,4.1001,161.6408
43427,4.117,4.6584,5.2679,4.1021,161.1768
43426,4.1003,4.6553,5.2611,4.0773,161.0052
43425,4.1189,4.6644,5.2406,4.0999,161.1722
43424,4.1096,4.6662,5.2488,4.0794,160.5225
43423,4.098,4.665,5.254,4.0855,160.503
43420,4.0856,4.6639,5.2762,4.1179,160.9705
43419,4.1007,4.6635,5.2853,4.1283,160.7168
43418,4.0924,4.659,5.3404,4.134,159.4922
43417,4.1011,4.6599,5.3479,4.1469,159.6578
43416,4.0964,4.6586,5.312,4.1342,160.4438
43413,4.0799,4.6588,5.3442,4.1063,160.9068
43412,4.072,4.663,5.3524,4.0825,160.6066
43411,4.0751,4.6617,5.3417,4.0588,160.9807
43410,4.0718,4.664,5.3294,4.0905,162.5364
43409,4.0771,4.6612,5.3295,4.0952,162.2178
43406,4.0826,4.6621,5.3078,4.0733,161.7815
43405,4.0856,4.6639,5.2807,4.0998,161.2711
43404,4.091,4.6668,5.2424,4.1141,161.0916
43403,4.0986,4.6665,5.2397,4.108,161.19
43402,4.0929,4.6628,5.2497,4.0898,161.8035
43399,4.1024,4.663,5.2576,4.1067,163.3246
43398,4.0932,4.6622,5.2707,4.0857,161.9311
43397,4.0919,4.659,5.2742,4.0802,161.4971
43396,4.0897,4.667,5.2812,4.0662,161.4068
43395,4.0659,4.6671,5.2855,4.0557,159.4364
43392,4.0936,4.6669,5.309,4.0761,160.9953
43391,4.0769,4.6658,5.3102,4.0493,159.3087
43390,4.0684,4.6667,5.3037,4.0359,159.1856
43389,4.0786,4.6677,5.3242,4.0341,159.3098
43388,4.0863,4.6663,5.2963,4.027,159.4518
43385,4.0564,4.659,5.3145,4.0221,157.6505
43384,4.0826,4.6674,5.332,4.0391,156.1948
43383,4.0896,4.6628,5.3405,4.059,154.9233
43382,4.0949,4.6668,5.3104,4.0705,155.4073
43381,4.0968,4.6671,5.3093,4.0651,156.061
43378,4.0882,4.6685,5.2946,4.0631,156.9483
43377,4.0938,4.6684,5.27,4.0591,156.5097
43376,4.0884,4.6643,5.2437,4.0326,156.0686
43375,4.1183,4.6658,5.2495,4.0507,155.3537
43374,4.0807,4.6596,5.2337,4.011,152.9099
43371,4.1248,4.6637,5.2481,4.021,153.0557
43370,4.11,4.6647,5.2295,3.984,153.2175
43369,4.0984,4.6605,5.2134,3.9612,152.5446
43368,4.0997,4.6603,5.212,3.9613,152.8355
43367,4.1276,4.6578,5.1941,3.9575,152.4712
43364,4.1351,4.6559,5.2123,3.9517,153.4508
43363,4.1133,4.6519,5.2505,3.9743,153.7281
43362,4.1141,4.6524,5.2395,3.9764,153.8126
43361,4.1386,4.6478,5.2258,3.9793,153.4282
43360,4.1314,4.6435,5.2221,3.9865,153.4057
43357,4.1152,4.643,5.206,3.9669,153.8855
43356,4.1165,4.6391,5.2113,3.993,154.8242
43355,4.1116,4.6393,5.2145,4.0011,153.9709
43354,4.1001,4.6325,5.2059,3.9946,153.3126
43353,4.1113,4.6332,5.1791,4.0019,153.6285
43350,4.1316,4.641,5.1679,3.9875,153.8595
43349,4.1134,4.6383,5.1623,3.9903,154.3963
43348,4.1091,4.6369,5.1336,4.0046,153.8093
43347,4.1121,4.6321,5.1376,4.0051,153.9807
43346,4.1191,4.6375,5.1491,3.997,154.4114
43343,4.1143,4.644,5.1764,3.9789,154.4121
43342,4.0927,4.643,5.1669,3.9704,153.5967
43341,4.0787,4.6489,5.1318,3.9852,154.2313
43340,4.0661,4.6474,5.1253,3.9723,155.0496
43339,4.0646,4.6416,5.132,3.9959,154.7487
43336,4.073,4.6377,5.1407,4.0089,153.5018
43335,4.0867,4.649,5.1716,4.0228,153.6636
43334,4.0782,4.6445,5.1663,4.0077,154.2391
43333,4.0809,4.6434,5.1688,4.032,154.7773
43332,4.0891,4.6483,5.1896,4.0737,155.6363
43329,4.1043,4.6569,5.196,4.0889,154.7175
43328,4.1247,4.6586,5.2037,4.0976,155.3364
43326,4.1212,4.659,5.2228,4.0854,156.948
43325,4.1152,4.6607,5.22,4.0937,158.3943
43322,4.0811,4.6567,5.1905,4.0594,158.0421
43321,4.0291,4.6427,5.1631,4.0039,156.3168
43320,4.0218,4.6426,5.1656,4.0024,155.9903
43319,4.0255,4.6428,5.1933,4.0055,156.5112
43318,4.0191,4.625,5.1861,4,155.8101
43315,4.0102,4.6206,5.1905,3.9908,154.9644
43314,4.0037,4.6217,5.2026,3.9799,155.6655
43313,3.9915,4.6255,5.1949,3.961,155.6619
43312,3.9942,4.6283,5.1922,3.9487,154.7323
43311,3.986,4.6248,5.1935,3.9572,155.5298
43308,3.9953,4.6315,5.2136,3.9844,156.1958
43307,3.9769,4.6273,5.2112,3.9502,155.9039
43306,3.9909,4.6282,5.2026,3.9551,156.6016
